ID;NO_ANGGOTA;TOTAL SIMWA; SALDO SHU ; SALDO PINJAMAN ; SEMBAKO 
1;970523035;9701000;952945;290113672;3318075
2;000103020;33460000;4598166;0;0
3;000103032;15020000;1699642;0;0
4;000114632;9639000;539132;0;0
5;000129632;9625000;574792;1716667;0
6;000129638;9625000;560670;0;0
7;000129644;9625000;589473;0;0
8;000129649;9625000;528821;146666750;0
9;000129654;9625000;634657;407040016;0
10;000201041;9623000;566891;234950000;0
11;000201348;9649000;501875;0;0
12;000201355;9649000;504477;0;0
13;000201640;9625000;502807;46173616;0
14;000201645;9625000;573256;339297772;0
15;000201668;9623000;449569;0;0
16;000201674;9625000;535217;0;0
17;000201692;9625000;637265;51880757;0
18;000201697;9625000;638355;0;0
19;000201702;9625000;452638;0;0
20;000201707;9625000;452638;0;0
21;000207052;9625000;476380;0;0
22;000211643;9625000;688128;56013904;0
23;000211648;9625000;534948;5449972;0
24;000211654;9625000;684417;0;0
25;000211660;9625000;640591;37036715;0
26;000211677;9625000;464959;108020837;0
27;000211680;9625000;572417;574933316;0
28;000211692;9625000;590575;0;0
29;000212034;9637000;503696;178666742;0
30;000214033;9610000;545597;403433322;0
31;000216040;9610000;520446;176000000;0
32;000217031;9937000;525109;0;0
33;000217035;9637000;654496;567466698;0
34;000217036;9637000;480723;0;0
35;000218031;9610000;531902;123699972;0
36;000218660;9625000;453970;148674999;0
37;000218674;9625000;581416;0;0
38;000218684;9625000;572199;0;0
39;000218687;9625000;594240;272650000;0
40;000222037;9610000;482379;0;0
41;000222042;9619000;575838;0;0
42;000222043;9637000;662346;26250000;0
43;000223632;9623000;778444;204800000;0
44;000225037;9610000;629232;381456070;0
45;000228035;13111000;497430;0;0
46;000301337;9647000;497615;0;0
47;000301347;9647000;497615;0;0
48;000301351;9647000;550487;0;0
49;000301655;9623000;500814;17795000;0
50;000301657;9623000;458235;60666680;0
51;000301668;9633000;624954;219111100;0
52;000301683;9623000;566071;0;0
53;000301685;9619000;444193;0;0
54;000313039;9610000;506848;40280000;0
55;000313635;9623000;456189;0;0
56;000313652;9623000;608495;401887938;0
57;000313653;9623000;528397;0;0
58;000313656;9623000;450775;28708318;0
59;000313657;9623000;455493;0;0
60;000313669;9623000;618683;26795820;0
61;000313677;9623000;449569;0;0
62;000313681;9623000;458712;0;0
63;000401032;9617000;548658;0;0
64;000401340;9645000;661434;15458318;0
65;000401344;9645000;597449;0;0
66;000401632;15005000;1504220;62900000;0
67;000401635;9623000;480925;28708318;0
68;000401646;9621000;580708;0;0
69;000401653;9621000;446501;0;0
70;000410032;18380000;818043;0;0
71;000419631;15000000;1486783;19680592;0
72;000501632;16260000;1131933;0;0
73;000501637;9631000;631622;174569738;0
74;000501641;9619000;626129;170479156;0
75;000501646;9631000;465337;0;0
76;000501647;9619000;478052;0;0
77;000501661;9629000;707774;531090706;0
78;000501669;9619000;443432;32655440;0
79;000503001;14195000;526490;0;0
80;000509332;9643000;607840;0;0
81;000509334;9643000;652045;214728900;0
82;000509335;9643000;595613;0;0
83;000512635;9914000;442622;0;0
84;000512639;9627000;460021;0;0
85;000512641;9633000;673200;55208326;0
86;000512654;9619000;522295;0;0
87;000512660;9619000;661360;10597256;0
88;000601034;9615000;561681;35333320;0
89;000601634;9617000;440364;0;0
90;000601641;9617000;654849;152533248;0
91;000601644;9627000;476906;0;0
92;000601654;9629000;489934;546186698;0
93;000606334;9641000;583551;0;0
94;000607332;9641000;531402;96176686;0
95;000607341;9641000;510629;0;0
96;000607346;9641000;626603;0;0
97;000620032;9627000;613050;0;0
98;000629035;9615000;560046;41958322;0
99;000701637;9625000;471492;0;0
100;000701643;9615000;450659;9325564;0
101;000701657;9627000;487916;0;0
102;000701659;9627000;455309;0;0
103;000701661;9615000;455163;33066704;0
104;000701664;9615000;611723;41958322;0
105;000701677;9615000;546338;170666744;0
106;000701681;9615000;546132;211213904;0
107;000701694;9615000;555521;125166644;0
108;000701698;9615000;450993;130346724;0
109;000701706;9615000;437297;0;0
110;000703001;30085000;1294116;0;0
111;000703331;9639000;484362;0;0
112;000707034;9610000;608107;0;0
113;000711331;9639000;558139;0;0
114;000712635;9627000;455309;0;0
115;000712641;9627000;495313;9937487;0
116;000712642;9627000;508098;3100015;0
117;000712644;9615000;468654;130666754;0
118;000717001;14195000;537980;0;0
119;000718031;9625000;551474;313266678;0
120;000718032;9610000;642726;82200081;0
121;000718033;9610000;435594;0;0
122;000801634;9610000;429625;0;0
123;000801635;9610000;463802;0;0
124;000801649;9610000;448289;48400006;0
125;000801657;9625000;566239;83866740;0
126;000801660;9610000;432273;0;0
127;000801661;9610000;429625;501226678;0
128;000801662;9625000;601291;35308298;0
129;000801663;9610000;438060;0;0
130;000801688;9623000;451104;0;0
131;000801703;9610000;459285;9274999;0
132;000801708;9610000;775945;278080000;0
133;000807033;9605000;420714;41958322;0
134;000807036;9605000;424870;48444432;0
135;000815331;9637000;789193;141555506;0
136;000821031;9485000;429992;47733309;0
137;000901654;9605000;491261;250666724;0
138;000901655;9605000;427653;300800000;0
139;000901665;9605000;476454;85333337;0
140;000901682;9623000;450947;0;0
141;000901709;9600000;445345;35333320;0
142;000905031;9605000;537135;0;0
143;000906035;9600000;460268;48583324;0
144;000912031;9621000;455278;70148270;0
145;000913031;9600000;501464;0;0
146;001001633;9621000;500437;7933311;0
147;001001637;9623000;662808;161924987;0
148;001001639;9590000;404877;16783322;0
149;001001642;9627000;472793;5520827;0
150;001001662;9600000;547968;161333250;0
151;001001668;9600000;409170;0;0
152;001001698;9595000;447305;139022236;0
153;001001708;9600000;414000;0;0
154;001001718;9600000;587349;9450000;0
155;001001722;9600000;409170;0;0
156;001001724;9600000;477903;0;0
157;001001727;9600000;498617;0;0
158;001001728;9600000;478740;32122834;0
159;001001733;9570000;573966;261466692;0
160;001001745;9600000;453576;0;0
161;001001747;9600000;409170;0;0
162;001001751;9621000;507637;21200008;0
163;001001756;9600000;451915;34125000;0
164;001001760;9600000;417188;0;0
165;001002031;26170000;671084;0;0
166;001006032;9580000;625544;48962686;0
167;001006034;9619000;666344;98254057;0
168;001024031;9619000;509843;267644428;0
169;001101634;9621000;582064;0;0
170;001101643;9590000;517253;0;0
171;001101644;9621000;450977;0;0
172;001101646;9621000;519498;24244500;0
173;001101670;9595000;534292;0;0
174;001101677;9595000;560431;84171744;0
175;001101682;9595000;412765;0;0
176;001101694;9595000;403441;7560000;0
177;001101706;9617000;447486;15458318;0
178;001110035;9619000;571349;70986688;0
179;001114633;9621000;624289;21799984;0
180;001127031;9567000;457056;0;0
181;001128033;9595000;411370;36166694;0
182;001201640;9590000;590691;204800000;0
183;001201647;9617000;539669;0;0
184;001212036;9619000;658750;4624969;0
185;010102003;20275000;2111926;672388872;0
186;010104001;32370000;2921212;0;0
187;010106001;14210000;663827;0;0
188;010112646;9621000;446105;0;0
189;010112653;9615000;444286;0;0
190;010112675;9585000;518978;268800000;0
191;010112676;9585000;509291;47483252;0
192;010112686;9585000;534396;105938326;0
193;010112690;9585000;388632;0;0
194;010117031;9510000;299069;0;0
195;010118639;9585000;425540;65591722;0
196;010118640;9585000;498049;20588880;0
197;010118659;9585000;488280;45270831;0
198;010129037;9580000;576767;87558314;0
199;010201337;9625000;471517;68200000;0
200;010201632;9560000;535372;225866522;0
201;010201650;9610000;547768;8662500;0
202;010201654;9580000;373373;240500000;0
203;010201679;9570000;468553;19408322;0
204;010201687;9570000;388818;0;0
205;010201705;9580000;385278;28266680;0
206;010201707;9585000;441960;5520827;0
207;010301002;14195000;524375;0;0
208;010301633;9605000;583939;352820035;0
209;010301640;14200000;592385;442666676;0
210;010301656;9575000;450831;0;0
211;010301657;12525000;198347;0;0
212;010301682;9575000;505547;180880000;0
213;010301683;9575000;427706;0;0
214;010301688;9575000;718051;243270048;0
215;010301689;9575000;460972;87969917;0
216;010308031;16045000;528241;0;0
217;010312631;9575000;413563;25523294;0
218;010401012;11255000;464394;0;0
219;010401018;12200000;621868;0;0
220;010401637;9600000;613326;35750000;0
221;010401638;9600000;459147;170666744;0
222;010401639;9570000;363838;0;0
223;010401658;9570000;363176;0;0
224;010401662;9570000;477031;0;0
225;010401669;9570000;383281;0;0
226;010401679;9570000;407751;25025000;0
227;010423001;9365000;241715;49875000;0
228;010501633;9610000;527004;130666754;0
229;010501640;9565000;358031;0;0
230;010501644;9560000;518088;410346682;0
231;010501646;9560000;454468;0;0
232;010501659;9565000;357960;0;0
233;010501666;9565000;376928;10710000;0
234;010501677;9565000;498339;0;0
235;010503332;9619000;571657;0;0
236;010515033;9495000;629119;171573262;0
237;010516001;14955000;965684;0;0
238;010601001;30960000;4453313;0;0
239;010601003;18135000;1262065;0;0
240;010601632;9560000;426074;22083320;0
241;010601654;9560000;352921;0;0
242;010620032;9500000;314487;52601415;0
243;010625631;9590000;393268;530133328;0
244;010701647;9585000;378487;0;0
245;010701662;9555000;347806;354666698;0
246;010701664;9555000;367665;22083316;0
247;010701665;9555000;353607;48444432;0
248;010701669;9555000;353414;492800000;0
249;010704032;9580000;379173;0;0
250;010712647;9585000;384700;45270831;0
251;010723032;13505000;330204;0;0
252;010801333;9610000;440574;0;0
253;010801343;9610000;595183;183583430;0
254;010801345;9615000;476519;0;0
255;010801660;9550000;524428;101621663;0
256;010801666;9550000;446729;0;0
257;010801669;9550000;495097;470236714;0
258;010801671;9550000;365971;0;0
259;010806031;9540000;329751;0;0
260;010808031;9500000;399282;325920000;0
261;010828032;9545000;353449;217458409;0
262;010901632;9585000;383306;38866672;0
263;010901638;9545000;373087;46026371;0
264;010901655;9545000;380493;40969972;0
265;010901661;9545000;338482;0;0
266;010901677;9545000;342325;0;0
267;011001635;9540000;378636;46844449;0
268;011001646;9535000;343406;0;0
269;011001657;9570000;369520;400213288;0
270;011001658;9535000;435434;236800000;0
271;011001661;9095000;371486;339200000;0
272;011001668;9535000;334868;0;0
273;011001669;9535000;381233;74666768;0
274;011001674;9560000;512446;56013904;0
275;011001704;9540000;367967;0;0
276;011002335;9600000;587577;3533336;0
277;011008001;17945000;534470;0;0
278;011008033;9540000;444765;552533312;0
279;011011035;9540000;456084;469900000;0
280;011012637;9570000;461979;429333290;0
281;011012641;9570000;417287;0;0
282;011012654;9535000;332772;251733292;0
283;011012660;9535000;361677;0;0
284;011012666;9570000;473300;0;0
285;011012687;9570000;429940;0;0
286;011012689;9570000;456479;70950000;0
287;011012710;9570000;464347;0;0
288;011012714;9540000;406894;105400000;0
289;011012716;9540000;446237;0;0
290;011101637;9535000;356092;310246694;0
